citation_key,full_reference,doi_or_url,verification_source,claim_supported,status,notes
taki2000dominant,"Taki T, Hasegawa J (2000). Visualization of dominant region in team games and its application to teamwork analysis. Computer Graphics International (CGI), IEEE.",10.1109/CGI.2000.852338,Crossref,"Dominant-region concept; early space-partition model of team games",verified,"Exact title and authors match Crossref record"
spearman2018beyond,"Spearman W (2018). Beyond Expected Goals. 12th MIT Sloan Sports Analytics Conference.",https://www.sloansportsconference.com/,Web (author X post; ResearchGate PDF),"Velocity-bearing pitch-control spatial value model",verified,"No DOI (conference paper); author and title confirmed via official and ResearchGate sources"
fernandez2018wide,"Fernandez J, Bornn L (2018). Wide Open Spaces: A statistical technique for measuring space creation in professional soccer. 12th MIT Sloan Sports Analytics Conference.",https://www.sloansportsconference.com/,Web (ResearchGate/Semantic Scholar),"Pitch control / space creation from tracking; motivates kinematic control",verified,"No DOI (conference paper); full title and authors confirmed"
singh2019xt,"Singh K (2019). Introducing Expected Threat (xT). karun.in blog.",https://karun.in/blog/expected-threat.html,Web (karun.in official),"Definition of expected threat (xT) value surface reused in this thesis",verified,"Origin of xT; original post sometimes dated 2018, widely cited as 2019"
decroos2019vaep,"Decroos T, Bransen L, Van Haaren J, Davis J (2019). Actions Speak Louder than Goals: Valuing Player Actions in Soccer. KDD, ACM.",10.1145/3292500.3330758,Crossref,"VAEP / socceraction action-valuation framework (basis of the reused xT implementation)",verified,"Exact match; canonical citation for socceraction"
gudmundsson2017spatiotemporal,"Gudmundsson J, Horton M (2017). Spatio-Temporal Analysis of Team Sports. ACM Computing Surveys 50(2).",10.1145/3054132,Crossref,"Survey establishing field-like spatiotemporal representations in team sport",verified,"Exact match; abstract confirms relevance"
rein2016bigdata,"Rein R, Memmert D (2016). Big data and tactical analysis in elite soccer. SpringerPlus 5.",10.1186/s40064-016-3108-2,Crossref,"Context on big data and tactical analysis; reproducibility/coverage motivation",verified,"Exact match"
shannon1948communication,"Shannon CE (1948). A Mathematical Theory of Communication. Bell System Technical Journal 27(3):379-423.",10.1002/j.1538-7305.1948.tb01338.x,Crossref,"Shannon entropy used for spatial-entropy descriptors",verified,"Part 1 (July 1948); second part Oct 1948 is a separate DOI"
cover2006elements,"Cover TM, Thomas JA (2006). Elements of Information Theory, 2nd ed. Wiley-Interscience.",ISBN 978-0-471-24195-9,Publisher (standard textbook),"KL divergence and rate-distortion concepts",verified,"Standard reference textbook; ISBN of 2nd edition"
benjamini1995fdr,"Benjamini Y, Hochberg Y (1995). Controlling the False Discovery Rate. J. R. Stat. Soc. B 57(1):289-300.",10.1111/j.2517-6161.1995.tb02031.x,Crossref,"Benjamini-Hochberg FDR used across the validation battery",verified,"Exact match"
pappalardo2019public,"Pappalardo L et al. (2019). A public data set of spatio-temporal match events in soccer competitions. Scientific Data 6.",10.1038/s41597-019-0247-7,Crossref,"Example of open event data; open-data reproducibility context",verified,"Exact match; cited as context, not used as a data source here"
statsbomb_opendata,"StatsBomb. StatsBomb Open Data. GitHub.",https://github.com/statsbomb/open-data,Repository (used in code),"Primary event and 360 data source; licence obligations",verified,"Pinned commit b0bc9f22...; governed by StatsBomb Public Data User Agreement"
metrica_sampledata,"Metrica Sports. Sample Tracking Data. GitHub.",https://github.com/metrica-sports/sample-data,Repository (used in code),"Continuous tracking source for the fidelity-gap study",verified,"Sample games 1-2 used; data not redistributed"
rubin1976missing,"Rubin DB (1976). Inference and missing data. Biometrika 63(3):581-592.",10.1093/biomet/63.3.581,Crossref,"Missing-data theory framing of partial observation",verified,"Exact match"
little2002statistical,"Little RJA, Rubin DB (2002). Statistical Analysis with Missing Data, 2nd ed. Wiley.",ISBN 978-0-471-18386-3,Publisher (standard textbook),"Missing-data analysis context",verified,"Standard textbook"
shrout1979icc,"Shrout PE, Fleiss JL (1979). Intraclass correlations: uses in assessing rater reliability. Psychol Bull 86(2):420-428.",10.1037/0033-2909.86.2.420,Crossref,"Reliability/ICC framing of split-half and variance components",verified,"Exact match"
cronbach1951alpha,"Cronbach LJ (1951). Coefficient alpha and the internal structure of tests. Psychometrika 16(3):297-334.",10.1007/BF02310555,Crossref,"Reliability theory; split-half coefficient",verified,"Exact match"
bland1986agreement,"Bland JM, Altman DG (1986). Statistical methods for assessing agreement. Lancet 327(8476):307-310.",10.1016/S0140-6736(86)90837-8,Crossref,"Agreement-vs-correlation framing for the fidelity comparison",verified,"Exact match"
mccullagh1989glm,"McCullagh P, Nelder JA (1989). Generalized Linear Models, 2nd ed. Chapman and Hall/CRC.",ISBN 978-0-412-31760-6,Publisher (standard textbook),"GLM theory for the shot-count models",verified,"Standard textbook"
cameron2013count,"Cameron AC, Trivedi PK (2013). Regression Analysis of Count Data, 2nd ed. CUP.",ISBN 978-1-107-66727-3,Publisher (standard textbook),"Poisson/negative-binomial count regression and overdispersion",verified,"Standard textbook"
efron1993bootstrap,"Efron B, Tibshirani RJ (1993). An Introduction to the Bootstrap. Chapman and Hall/CRC.",ISBN 978-0-412-04231-7,Publisher (standard textbook),"Bootstrap confidence intervals",verified,"Standard textbook"
baddeley2015spatial,"Baddeley A, Rubak E, Turner R (2015). Spatial Point Patterns. Chapman and Hall/CRC.",ISBN 978-1-4822-1020-0,Publisher (standard textbook),"Spatial point-process and density context",verified,"Standard textbook (spatstat)"
silverman1986density,"Silverman BW (1986). Density Estimation for Statistics and Data Analysis. Chapman and Hall.",ISBN 978-0-412-24620-3,Publisher (standard textbook),"Kernel density estimation for the event-density field",verified,"Standard textbook"
sandve2013reproducible,"Sandve GK et al. (2013). Ten simple rules for reproducible computational research. PLoS Comput Biol 9(10):e1003285.",10.1371/journal.pcbi.1003285,Crossref,"Reproducibility framework motivation",verified,"Exact match"
wilson2017goodenough,"Wilson G et al. (2017). Good enough practices in scientific computing. PLoS Comput Biol 13(6):e1005510.",10.1371/journal.pcbi.1005510,Crossref,"Reproducible-software practices motivation",verified,"Exact match"
fernandez2021epv,"Fernandez J, Bornn L, Cervone D (2021). A framework for the fine-grained evaluation of the instantaneous expected value of soccer possessions. Mach Learn 110:1389-1427.",10.1007/s10994-021-05989-6,Crossref,"Expected possession value; tracking-based value surfaces",verified,"Exact match"
decroos2020playervectors,"Decroos T, Davis J (2020). Player Vectors: Characterizing Soccer Players' Playing Style. ECML PKDD 2019, Springer.",10.1007/978-3-030-46133-1_34,Crossref,"Style characterisation from event streams; descriptor context",verified,"Exact match"
bornn2018soccer,"Bornn L, Cervone D, Fernandez J (2018). Soccer analytics: unravelling the complexity of the beautiful game. Significance 15(3):26-29.",10.1111/j.1740-9713.2018.01146.x,Crossref,"Overview of spatial soccer analytics",verified,"Exact match"
pinheiro2000mixed,"Pinheiro JC, Bates DM (2000). Mixed-Effects Models in S and S-PLUS. Springer.",ISBN 978-0-387-98957-0,Publisher (standard textbook),"Crossed random-effects mixed models for the variance decomposition",verified,"Standard textbook"
gudmundsson2014football,"Gudmundsson J, Wolle T (2014). Football analysis using spatio-temporal tools. Computers, Environment and Urban Systems 47:16-27.",10.1016/j.compenvurbsys.2013.09.004,Crossref,"Spatio-temporal tooling for football; field-like analysis",verified,"Exact match"
bialkowski2014identifying,"Bialkowski A et al. (2014). Identifying Team Style in Soccer Using Formations Learned from Spatiotemporal Tracking Data. IEEE ICDMW.",10.1109/ICDMW.2014.167,Crossref,"Team-style identification from tracking; descriptor-study context",verified,"Exact match"
power2017passes,"Power P, Ruiz H, Wei X, Lucey P (2017). Not All Passes Are Created Equal. KDD.",10.1145/3097983.3098051,Crossref,"Pass risk/reward from tracking; value-of-actions context",verified,"Exact match"
brefeld2019zones,"Brefeld U, Lasek J, Mair S (2019). Probabilistic movement models and zones of control. Machine Learning 108:127-147.",10.1007/s10994-018-5725-1,Crossref,"Movement models and control zones; pitch-control context",verified,"Exact match"
memmert2017tactical,"Memmert D, Lemmink KAPM, Sampaio J (2017). Current Approaches to Tactical Performance Analyses in Soccer Using Position Data. Sports Medicine 47:1-10.",10.1007/s40279-016-0562-5,Crossref,"Survey of tactical analysis from position data",verified,"Exact match"
low2020collective,"Low B et al. (2020). A Systematic Review of Collective Tactical Behaviours in Football Using Positional Data. Sports Medicine 50:343-385.",10.1007/s40279-019-01194-7,Crossref,"Systematic review of collective tactical behaviour",verified,"Exact match"
hopkins2000reliability,"Hopkins WG (2000). Measures of Reliability in Sports Medicine and Science. Sports Medicine 30(1):1-15.",10.2165/00007256-200030010-00001,Crossref,"Reliability methodology specific to sport",verified,"Exact match"
schafer2002missing,"Schafer JL, Graham JW (2002). Missing data: our view of the state of the art. Psychological Methods 7(2):147-177.",10.1037/1082-989X.7.2.147,Crossref,"Missing-data theory and practice",verified,"Exact match"
peng2011reproducible,"Peng RD (2011). Reproducible Research in Computational Science. Science 334(6060):1226-1227.",10.1126/science.1213847,Crossref,"Reproducibility standards for computational science",verified,"Exact match"
cioppa2022soccernet,"Cioppa A et al. (2022). SoccerNet-Tracking: Multiple Object Tracking Dataset and Benchmark in Soccer Videos. IEEE/CVF CVPRW.",10.1109/CVPRW56347.2022.00393,Crossref,"CV tracking benchmark; open tracking landscape vs professional tracking",verified,"Exact match"
haddad2024pitchcontrol,"Haddad F (2024). Building a Pitch Control Model for StatsBomb Event Data. Medium blog.",https://medium.com/@fadih3940/building-a-pitch-control-model-for-statsbomb-event-data-e0fbe50cac97,Author-provided full text (accessed 18 June 2026),"Closest open-community precedent: pitch control on StatsBomb 360; attempts cross-frame velocity inference",verified-grey-literature,"Non-peer-reviewed practitioner blog; cited as grey literature; code on the author's GitHub"
linke2020tracab,"Linke D, Link D, Lames M (2020). Football-specific validity of TRACAB's optical video tracking systems. PLOS ONE 15(3):e0230179.",10.1371/journal.pone.0230179,Crossref/PLOS,"Peer-reviewed validation of a commercial optical tracking provider; supports the data-availability premise",verified,"Exact match; DOI confirmed"
bassek2025idsse,"Bassek M, Rein R, Weber H, Memmert D (2025). An integrated dataset of synchronized spatiotemporal and event data in elite soccer. Scientific Data 12:195.",10.1038/s41597-025-04505-y,Crossref/Nature,"Open CC-BY synchronised event+tracking, 7 Bundesliga matches; second open continuous-tracking source for Chapter 5",verified,"Exact match; DOI confirmed; CC-BY 4.0"
davis2024methodology,"Davis J, Bransen L, Devos L, Jaspers A, Meert W, Robberechts P, Van Haaren J, Van Roy M (2024). Methodology and evaluation in sports analytics. Machine Learning 113(9):6977-7010.",10.1007/s10994-024-06585-0,Crossref/Springer,"Methodology and evaluation rigour in sports analytics; supports the measurement/validation framing",verified,"Exact match; DOI confirmed"
vanroy2023markov,"Van Roy M, Robberechts P, Yang WC, De Raedt L, Davis J (2023). A Markov framework for learning and reasoning about strategies in professional soccer. JAIR 77:517-562.",10.1613/jair.1.13934,Crossref/JAIR,"Markov reasoning about strategy; related to the Markov possession model behind xT",verified,"Exact match; DOI confirmed"
rothe2026tactical,"Rothe F, Van Roy M, Pinheiro G, Davis J, Lames M (2026). Automatic detection of tactical states in football based on player and ball position. Journal of Sports Analytics 12.",10.1177/22150218261432789,Crossref/SAGE,"Tactical-state detection from full positional data; example of the positional tradition that partial observation limits",verified,"Exact match; DOI confirmed; first online March 2026"
vossen2024kloppy,"Vossen K and kloppy contributors (2024). kloppy: standardizing soccer tracking and event data. PySport.",https://kloppy.pysport.org/,Documentation site (accessed 19 June 2026),"Vendor-independent loader used to access the Sportec open tracking data",verified-software,"BSD-3 licensed; coordinate output validated against the raw XML used here"
decroos2021soccermix,"Decroos T, Van Roy M, Davis J (2021). SoccerMix: Representing Soccer Actions with Mixture Models. ECML PKDD 2020, Springer.",10.1007/978-3-030-67670-4_28,Crossref,"Mixture-model style decomposition; candidate descriptor family for the validation battery",verified,"Exact match; DTAI Sports Analytics Lab software"
robberechts2023unxpass,"Robberechts P, Van Roy M, Davis J (2023). un-xPass: Measuring Soccer Player's Creativity. KDD.",10.1145/3580305.3599924,Crossref,"Creativity evaluation from StatsBomb 360; related 360 partial-observation work",verified,"Exact match; DTAI Sports Analytics Lab software"
robberechts2024soccerdata,"Robberechts P (2024). soccerdata: Python scrapers for FBref, Understat, WhoScored, Sofascore, Club Elo, etc.",https://soccerdata.readthedocs.io/en/latest/,Documentation site (accessed 19 June 2026),"Future-work route to convergent validation against independently sourced public metrics",verified-software,"Open-source package; web-scraped sources not openly licensed, noted as caveat in text"
le2017coordinated,"Le HM, Yue Y, Carr P, Lucey P (2017). Coordinated multi-agent imitation learning. ICML, PMLR 70:1995-2003.",https://proceedings.mlr.press/v70/le17a.html,PMLR proceedings,"Multi-agent imitation learning (football ghosting); trajectory-modelling frontier",verified,"PMLR; no DOI"
felsen2018where,"Felsen P, Lucey P, Ganguly S (2018). Where will they go? Predicting fine-grained adversarial multi-agent motion using CVAEs. ECCV.",10.1007/978-3-030-01252-6_45,Crossref/Springer,"Generative multi-agent trajectory prediction",verified,"Exact match"
yeh2019diverse,"Yeh RA, Schwing AG, Huang J, Murphy K (2019). Diverse generation for multi-agent sports games. CVPR.",https://openaccess.thecvf.com/content_CVPR_2019/html/Yeh_Diverse_Generation_for_Multi-Agent_Sports_Games_CVPR_2019_paper.html,CVF Open Access,"Graph-VRNN diverse trajectory generation (basketball, football)",verified,"CVPR 2019; CVF"
omidshafiei2022offscreen,"Omidshafiei S et al. (2022). Multiagent off-screen behavior prediction in football. Scientific Reports 12:8638.",10.1038/s41598-022-12547-0,Crossref/Nature,"Deep imputation of off-screen players; the imputation route the thesis declines",verified,"Exact match"
wang2024tacticai,"Wang Z et al. (2024). TacticAI: an AI assistant for football tactics. Nature Communications 15:1906.",10.1038/s41467-024-45965-x,Crossref/Nature,"Geometric deep learning for corner-kick tactics",verified,"Exact match"
pettersen2014soccer,"Pettersen SA et al. (2014). Soccer video and player position dataset. MMSys.",10.1145/2557642.2563677,Crossref/ACM,"Open positional dataset (Alfheim); open-data landscape",verified,"Exact match"
