chapter,quantity,value,units,source_file,generating_script,status,notes
4,360 frames in demonstration match,2838,frames,figures/demo1_summary.json,scripts/demo1.py,verified,"Euro 2020 match 3788758"
4,mean visible-area fraction of pitch,0.263,fraction,figures/demo1_summary.json,scripts/demo1.py,verified,"across all 2838 frames"
4,mean visible players per frame,14.7,players (of 22),figures/demo1_summary.json,scripts/demo1.py,verified,"median 15"
4,fraction of frames observing all 22 players,0.000,fraction,figures/demo1_summary.json,scripts/demo1.py,verified,"no frame observed all 22"
4,demonstration shot visible players,19,players,figures/demo1_summary.json,scripts/demo1.py,verified,"8 possession + 11 opponents"
4,demonstration shot visible-area fraction,0.110,fraction,figures/demo1_summary.json,scripts/demo1.py,verified,"control_visible_fraction"
4,control-field spatial entropy,7.23,bits,figures/demo1_summary.json,scripts/demo1.py,verified,
4,pass-origin density spatial entropy,10.37,bits,figures/demo1_summary.json,scripts/demo1.py,verified,"925 pass origins; integral 1.000"
4,flow field |J| jitter stability (1 m),0.876,spatial corr,figures/demo2_summary.json,scripts/demo2.py,verified,"passes gate (>=0.80)"
4,flow divergence jitter stability (48x32),0.642,spatial corr,figures/demo2_summary.json,scripts/demo2.py,verified,"fails gate"
4,flow divergence jitter stability (24x16),0.907,spatial corr,figures/demo2_summary.json,scripts/demo2.py,verified,"recovers on coarser grid"
4,flow curl jitter stability (48x32),0.544,spatial corr,figures/demo2_summary.json,scripts/demo2.py,verified,"fails; not licensed for empirical use"
4,xT training games,115,matches,data/models/xt_grid.json,scripts/fit_xt.py,verified,"Euro 2020 + WC 2022"
4,xT training actions,251393,SPADL actions,data/models/xt_grid.json,scripts/fit_xt.py,verified,
4,possession moves (Euro 2020),98620,moves,figures/demo2_summary.json,scripts/demo2.py,verified,"passes + carries"
5,Metrica frames total (game 1),145006,frames,figures/demo3_summary.json,scripts/demo3.py,verified,"25 fps"
5,frames evaluated for fidelity gap,799,frames,figures/demo3_summary.json,scripts/demo3.py,verified,
5,control corr kinematic vs position-only (0-1 m/s),0.999,spatial corr,figures/demo3_summary.json,scripts/demo3.py,verified,"n=186"
5,control corr kinematic vs position-only (>4 m/s),0.964,spatial corr,figures/demo3_summary.json,scripts/demo3.py,verified,"n=26"
5,controlling-team cell-flip fraction (0-1 m/s),0.013,fraction,figures/demo3_summary.json,scripts/demo3.py,verified,
5,controlling-team cell-flip fraction (>4 m/s),0.079,fraction,figures/demo3_summary.json,scripts/demo3.py,verified,
5,overall control corr,0.991,spatial corr,figures/demo3_summary.json,scripts/demo3.py,verified,"median 0.994"
6,team-match rows (tournaments),230,rows,figures/demo4_summary.json,scripts/demo4.py,verified,"102 Euro + 128 WC"
6,discriminant eta2 directness (Euro/WC),0.476/0.514,variance share,figures/demo4_summary.json,scripts/demo4.py,verified,"p=0.001/0.000"
6,discriminant eta2 entropy_end (Euro/WC),0.263/0.307,variance share,figures/demo4_summary.json,scripts/demo4.py,verified,"p=0.279/0.109 (not significant)"
6,incremental dR2 mean_xt_end -> shots,0.247,R2 increment,figures/demo4_summary.json,scripts/demo4.py,verified,"p<0.001; baseline n_moves"
6,incremental dR2 directness -> shots,0.069,R2 increment,figures/demo4_summary.json,scripts/demo4.py,verified,"p<0.001"
6,FDR significant (tournaments family),14 of 24,tests,figures/demo4_summary.json,scripts/demo4.py,verified,"BH q<=0.05"
6,split-half reliability directness (FAWSL 18/19),0.973,Pearson r,figures/demo5_summary.json,scripts/demo5.py,verified,"p<0.001; ~19 matches/team"
6,split-half reliability sum_dxt (FAWSL 18/19),0.871,Pearson r,figures/demo5_summary.json,scripts/demo5.py,verified,
6,split-half reliability entropy_end (FAWSL 18/19),-0.206,Pearson r,figures/demo5_summary.json,scripts/demo5.py,verified,"not significant"
6,team-vs-opponent directness team share (18/19),0.629,variance share,figures/demo5_summary.json,scripts/demo5.py,verified,"opponent 0.088; p=0.001"
6,split-half reliability directness (FAWSL 19/20),0.863,Pearson r,figures/demo6_summary.json,scripts/demo6.py,verified,"replication"
6,split-half reliability sum_dxt (FAWSL 19/20),0.908,Pearson r,figures/demo6_summary.json,scripts/demo6.py,verified,
6,across-season reliability pattern correlation,0.978,Pearson r,figures/demo6_summary.json,scripts/demo6.py,verified,"2018/19 vs 2019/20 across 5 descriptors"
6,team-vs-opponent directness team share (19/20),0.475,variance share,figures/demo6_summary.json,scripts/demo6.py,verified,"opponent 0.147"
4,observation-ceiling frames (multi-match),166871,frames,figures/analysis_obs_ceiling.json,scripts/analysis_obs_ceiling.py,verified,"all 51 Euro 2020 matches"
4,visible-area fraction mean (multi-match),0.284,fraction,figures/analysis_obs_ceiling.json,scripts/analysis_obs_ceiling.py,verified,"median 0.268; p10-p90 0.18-0.42"
4,visible players mean (multi-match),15.21,players,figures/analysis_obs_ceiling.json,scripts/analysis_obs_ceiling.py,verified,"median 16"
4,fraction frames observing all 22 (multi-match),0.00023,fraction,figures/analysis_obs_ceiling.json,scripts/analysis_obs_ceiling.py,verified,"38 of 166871"
4,shot frames visible players mean,14.6,players,figures/analysis_obs_ceiling.json,scripts/analysis_obs_ceiling.py,verified,"shots see least; 18.6% pitch"
4,gate sensitivity curl 48x32 (Pearson 1m),0.55,spatial corr,figures/analysis_gate_sensitivity.json,scripts/analysis_gate_sensitivity.py,verified,"least stable operator"
4,gate sensitivity curl 24x16 (Pearson 1m),0.88,spatial corr,figures/analysis_gate_sensitivity.json,scripts/analysis_gate_sensitivity.py,verified,"recovers at coarse grid (corrects earlier claim)"
4,gate sensitivity div 24x16 (Pearson 1m),0.90,spatial corr,figures/analysis_gate_sensitivity.json,scripts/analysis_gate_sensitivity.py,verified,
4,gate sensitivity |J| 48x32 Spearman,0.75,spatial corr,figures/analysis_gate_sensitivity.json,scripts/analysis_gate_sensitivity.py,verified,"metric matters; Spearman stricter"
5,fidelity frames evaluated (two matches),1597,frames,figures/analysis_fidelity_extended.json,scripts/analysis_fidelity_extended.py,verified,"games 1 and 2"
5,fidelity corr 0-1 m/s [95% CI],"0.999 [0.999,0.999]",spatial corr,figures/analysis_fidelity_extended.json,scripts/analysis_fidelity_extended.py,verified,"bootstrap CI"
5,fidelity corr >4 m/s [95% CI],"0.964 [0.959,0.969]",spatial corr,figures/analysis_fidelity_extended.json,scripts/analysis_fidelity_extended.py,verified,"non-overlapping with lower bands"
5,fidelity stratifier Spearman rho (mean/p90/max speed),-0.88/-0.87/-0.79,Spearman rho,figures/analysis_fidelity_speedstat.json,scripts/analysis_fidelity_speedstat.py,verified,"degradation monotonic under all three stratifiers; 1398 Metrica frames"
5,fidelity corr lowest vs highest quintile (max speed),0.999 vs 0.982,spatial corr,figures/analysis_fidelity_speedstat.json,scripts/analysis_fidelity_speedstat.py,verified,"transition-sensitive not only mean-speed-sensitive"
6,directness vs mean_xt correlation,0.09,Pearson r,figures/analysis_descriptor_stats.json,scripts/analysis_descriptor_stats.py,verified,"directness distinct from threat"
6,directness vs n_moves correlation,-0.76,Pearson r,figures/analysis_descriptor_stats.json,scripts/analysis_descriptor_stats.py,verified,"directness anti-correlated with volume"
6,Poisson shot-model dispersion,2.08,ratio,figures/analysis_descriptor_stats.json,scripts/analysis_descriptor_stats.py,verified,"overdispersed; negative-binomial check reported"
6,mean_xt GLM pseudo-R2 gain,0.121,McFadden,figures/analysis_descriptor_stats.json,scripts/analysis_descriptor_stats.py,verified,"significant after opponent control"
6,directness reliability bootstrap CI (18/19),"0.97 [0.92,0.99]",Pearson r,figures/analysis_descriptor_stats.json,scripts/analysis_descriptor_stats.py,verified,"teams resampled"
6,entropy reliability bootstrap CI (18/19),"-0.21 [-0.73,0.46]",Pearson r,figures/analysis_descriptor_stats.json,scripts/analysis_descriptor_stats.py,verified,"interval spans zero"
6,mens league team-match rows (PL 2015/16),760,rows,figures/analysis_mens_league.json,scripts/analysis_mens_league.py,verified,"20 teams, 38 matches/team"
6,directness reliability PL 2015/16 [95% CI],"0.965 [0.943,0.986]",Pearson r,figures/analysis_mens_league.json,scripts/analysis_mens_league.py,verified,"generalises across sex and league"
6,directness team-share PL 2015/16,0.466,variance share,figures/analysis_mens_league.json,scripts/analysis_mens_league.py,verified,"team net of opponent"
6,entropy reliability PL 2015/16 [95% CI],"0.877 [0.723,0.943]",Pearson r,figures/analysis_mens_league.json,scripts/analysis_mens_league.py,verified,"reliable in men's data (unreliable in women's): power-dependent"
6,sum_dxt reliability PL 2015/16 [95% CI],"0.453 [0.231,0.764]",Pearson r,figures/analysis_mens_league.json,scripts/analysis_mens_league.py,verified,"does not generalise (volume confound)"
6,mixed-model team prop directness (PL),0.470,variance proportion,figures/analysis_mixed_models.json,scripts/analysis_mixed_models.py,verified,"opp 0.044; REML crossed random effects"
6,mixed-model team prop directness (FAWSL 18/19),0.653,variance proportion,figures/analysis_mixed_models.json,scripts/analysis_mixed_models.py,verified,"opp 0.078; agrees with fixed-effect"
6,mixed-model entropy (FAWSL 18/19),non-converged,n/a,figures/analysis_mixed_models.json,scripts/analysis_mixed_models.py,verified,"variances near zero; unreliable descriptor"
5,control-constant sensitivity agreement range (all frames),0.986-0.996,spatial corr,figures/analysis_control_constants.json,scripts/analysis_control_constants.py,verified,"across reaction/max_speed/temperature settings"
5,control-constant sensitivity agreement range (fast frames),0.957-0.986,spatial corr,figures/analysis_control_constants.json,scripts/analysis_control_constants.py,verified,"gap robust to constants; reaction time largest driver"
6,directness range PL 2015/16 (team season means),3.93-7.26 m,forward displacement/move,figures/analysis_face_validity.json,scripts/analysis_face_validity.py,verified,"mean 5.42 sd 1.08; face-validity check"
6,most direct team PL 2015/16,Leicester/West Brom/Sunderland ~7.2 m,m,figures/analysis_face_validity.json,scripts/analysis_face_validity.py,verified,"direct counter-attacking sides"
6,least direct team PL 2015/16,Man City 3.93 m,m,figures/analysis_face_validity.json,scripts/analysis_face_validity.py,verified,"possession sides at low end"
4,WC2022 ceiling frames,203882,frames,figures/analysis_obs_ceiling_wc2022.json,scripts/analysis_obs_ceiling_wc2022.py,verified,"64 matches; replication of observation ceiling"
4,WC2022 visible-area fraction median,0.283,fraction,figures/analysis_obs_ceiling_wc2022.json,scripts/analysis_obs_ceiling_wc2022.py,verified,"Euro2020 0.268; close agreement"
4,WC2022 visible players mean,15.1,players,figures/analysis_obs_ceiling_wc2022.json,scripts/analysis_obs_ceiling_wc2022.py,verified,"Euro2020 15.2; median 16 both"
4,WC2022 frames observing all 22,0.00,percent,figures/analysis_obs_ceiling_wc2022.json,scripts/analysis_obs_ceiling_wc2022.py,verified,"Euro2020 0.02%; near-complete coverage essentially absent"
6,Wyscout xprovider team-match rows,748,rows,figures/analysis_xprovider_wyscout.json,scripts/analysis_xprovider_wyscout.py,verified,"PL 2017/18; 20 teams; 38/team; Pappalardo open"
6,Wyscout directness reliability,0.955,correlation,figures/analysis_xprovider_wyscout.json,scripts/analysis_xprovider_wyscout.py,verified,"vs StatsBomb 0.965; cross-provider replication"
6,Wyscout directness team share,0.41,share,figures/analysis_xprovider_wyscout.json,scripts/analysis_xprovider_wyscout.py,verified,"vs StatsBomb 0.47"
6,StatsBomb directness reliability pass-only (PL15/16),0.950,Pearson r,figures/analysis_directness_passonly.json,scripts/analysis_directness_passonly.py,verified,"vs 0.965 pass+carry; matches Wyscout 0.955 (taxonomy control)"
6,StatsBomb directness team share pass-only (PL15/16),0.46,share,figures/analysis_directness_passonly.json,scripts/analysis_directness_passonly.py,verified,"vs 0.47 pass+carry; between-team share 0.47 unchanged"
5,Sportec fidelity matches,7,matches,figures/analysis_fidelity_sportec.json,scripts/analysis_fidelity_sportec.py,verified,"all 7 IDSSE matches; CC-BY Sportec open"
5,Sportec fidelity frames,1750,frames,figures/analysis_fidelity_sportec.json,scripts/analysis_fidelity_sportec.py,verified,"250 anchors per match x 7"
5,Sportec corr settled (0-1 m/s),0.9985,correlation,figures/analysis_fidelity_sportec.json,scripts/analysis_fidelity_sportec.py,verified,"matches Metrica 0.9986"
5,Sportec corr fast (>4 m/s),0.9653,correlation,figures/analysis_fidelity_sportec.json,scripts/analysis_fidelity_sportec.py,verified,"matches Metrica 0.9638; replicated decline"
5,Sportec flip fast (>4 m/s),0.080,fraction,figures/analysis_fidelity_sportec.json,scripts/analysis_fidelity_sportec.py,verified,"matches Metrica 0.078"
6,xG outcome team-match rows,229,rows,figures/analysis_xg_outcome.json,scripts/analysis_xg_outcome.py,verified,"115 tournament matches with cached raw events; zero rows with sum_xg=0 (min 0.09)"
6,shots-vs-xG Spearman rho,0.757,correlation,figures/analysis_xg_outcome.json,scripts/analysis_xg_outcome.py,verified,"p=6.8e-44; xG distinct from shot count"
6,directness xG coef (Gamma log),0.44,log-scale,figures/analysis_xg_outcome.json,scripts/analysis_xg_outcome.py,verified,"p=6e-08; survives opponent control; p=2e-06 match-clustered"
6,total threat xG coef (Gamma log),0.37,log-scale,figures/analysis_xg_outcome.json,scripts/analysis_xg_outcome.py,verified,"p=6e-10; dev increment 0.121"
6,mean endpoint threat xG coef (Gamma log),0.25,log-scale,figures/analysis_xg_outcome.json,scripts/analysis_xg_outcome.py,verified,"p=2e-06; attenuated vs shot count"
6,attacking-third share xG coef (Gamma log),0.17,log-scale,figures/analysis_xg_outcome.json,scripts/analysis_xg_outcome.py,verified,"p=1e-03; weakest on xG but still significant"
6,xG zero-xG rows / min sum_xg,0 / 0.09,rows / xG,figures/analysis_xg_robustness.json,scripts/analysis_xg_robustness.py,verified,"Gamma log link valid without zero adjustment"
6,incremental value match-clustered (all descriptors),p<0.01,p-value,figures/analysis_xg_robustness.json,scripts/analysis_xg_robustness.py,verified,"cluster-robust SE by match (115 clusters); shots and xG both"
all,offline unit tests,39,tests,pytest,tests/,verified,"pytest -m 'not network'"
all,network integration tests,5,tests,pytest,tests/,verified,"pytest -m network"
4,coverage-impact reference frames (>=18 visible),107935,frames,figures/analysis_coverage_impact.json,scripts/analysis_coverage_impact.py,verified,"well-observed 360 frames across Euro 2020 + WC 2022; 2500 sampled"
4,coverage-impact control corr (remove 1 far player),0.796,spatial corr,figures/analysis_coverage_impact.json,scripts/analysis_coverage_impact.py,verified,"[0.788,0.803]; flip 0.092"
4,coverage-impact control corr (remove 5 far players),0.588,spatial corr,figures/analysis_coverage_impact.json,scripts/analysis_coverage_impact.py,verified,"~typical coverage; flip 0.207; internal proxy"
4,coverage-impact flip fraction (remove 5 far players),0.207,fraction,figures/analysis_coverage_impact.json,scripts/analysis_coverage_impact.py,verified,"[0.202,0.211]; larger than velocity-gap flip (Ch5)"
4,PFF external validation matches / events,64 / 18650,matches/events,figures/analysis_pff_paired.json,scripts/analysis_pff_paired.py,verified,"same matches as StatsBomb 360 WC2022; per-period alignment"
4,PFF external corr (C_full vs 360-observed subset),0.923,spatial corr,figures/analysis_pff_paired.json,scripts/analysis_pff_paired.py,verified,"[0.921,0.924]; within visible mask"
4,PFF external flip fraction,0.044,fraction,figures/analysis_pff_paired.json,scripts/analysis_pff_paired.py,verified,"[0.043,0.044]; robust to alignment QC; far smaller than internal-proxy stress test"
4,PFF alignment median ball residual,4.2,m,figures/analysis_pff_paired.json,scripts/analysis_pff_paired.py,verified,"annotation-precision level; unchanged excluding worst-aligned matches"
4,obs-ceiling competitions (multi),5 (825659 frames),competitions,figures/analysis_obs_ceiling_multi.json,scripts/analysis_obs_ceiling_compare.py,verified,"Euro2020/2024, WC2022, WWC2023, W-Euro2022"
4,obs-ceiling median coverage Euro 2024,0.296,fraction,figures/analysis_obs_ceiling_uefa_euro_2024.json,scripts/analysis_obs_ceiling_any.py,verified,"16.4 players mean; men's, best observed"
4,obs-ceiling median coverage Women's WC 2023,0.233,fraction,figures/analysis_obs_ceiling_fifa_women_s_world_cup_2023.json,scripts/analysis_obs_ceiling_any.py,verified,"14.1 players mean; women's, lower"
4,obs-ceiling median coverage Women's Euro 2022,0.225,fraction,figures/analysis_obs_ceiling_uefa_women_s_euro_2022.json,scripts/analysis_obs_ceiling_any.py,verified,"13.9 players mean; women's, lowest"
6,reliability at 19 matches/team directness (EPL subsampled),0.90,Pearson r,figures/analysis_reliability_curve.json,scripts/analysis_reliability_curve.py,verified,"[0.83,0.95]; n=38 col reproduces Table 6.7"
6,reliability at 19 matches/team entropy (EPL subsampled),0.74,Pearson r,figures/analysis_reliability_curve.json,scripts/analysis_reliability_curve.py,verified,"[0.56,0.87] excludes women's -0.21; power refuted"
6,directness residual-on-volume reliability,0.71,Pearson r,figures/analysis_directness_confounds.json,scripts/analysis_directness_confounds.py,verified,"between-team share collapses 0.47->0.11"
5,Ch5 mechanical-null flip (>4 m/s) null vs real,0.095 vs 0.078,fraction,figures/analysis_ch5_mechanical_null.json,scripts/analysis_ch5_mechanical_null.py,verified,"direction is largely mechanical; real slightly better"
5,velocity-estimation sensitivity overall corr range,0.9918-0.9925,spatial corr,figures/analysis_velocity_sensitivity.json,scripts/analysis_velocity_sensitivity.py,verified,"central/MA3-15/savgol; caps 8-15; gap robust to velocity estimator"
5,velocity-estimation sensitivity high-speed flip range,0.074-0.090,fraction,figures/analysis_velocity_sensitivity.json,scripts/analysis_velocity_sensitivity.py,verified,">4 m/s band across estimators"
6,xT leave-one-competition-out surface correlation,0.976,spatial corr,figures/analysis_xt_crossfit.json,scripts/analysis_xt_crossfit.py,verified,"WC2022 vs Euro2020 xT surfaces"
6,xT cross-fit descriptor correlation,0.998,Pearson r,figures/analysis_xt_crossfit.json,scripts/analysis_xt_crossfit.py,verified,"endogenous vs cross-fitted mean_xt_end; discriminant share within 0.01; endogeneity negligible"
4,PFF edge agreement flip <2m from polygon boundary,0.093,fraction,figures/analysis_pff_paired.json,scripts/analysis_pff_paired.py,verified,"vs 0.005 at 10-20m inside; overall 0.044; MAE 0.035"
4,PFF edge agreement flip >10m inside polygon,0.005,fraction,figures/analysis_pff_paired.json,scripts/analysis_pff_paired.py,verified,"near-perfect interior; boundary materially weaker"
